Latitude,Longitude,Zipcode
40.0329414634146,-75.2057077377717,19119
40.0329414634146,-75.1966930774456,19144
40.0329414634146,-75.1876784171196,19144
40.0329414634146,-75.1786637567935,19144
40.0329414634146,-75.1696490964674,19144
40.0329414634146,-75.1606344361413,19144
40.0329414634146,-75.1516197758152,19144
40.0329414634146,-75.1426051154891,19141
40.0329414634146,-75.133590455163,19120
40.0329414634146,-75.1245757948369,19120
40.0329414634146,-75.1155611345109,19120
40.0329414634146,-75.1065464741848,19124
40.0329414634146,-75.0975318138587,19124
40.0329414634146,-75.0885171535326,19124
40.0329414634146,-75.0795024932065,19149
40.0329414634146,-75.0704878328804,19149
40.0329414634146,-75.0614731725543,19149
40.0329414634146,-75.0524585122283,19149
40.0329414634146,-75.0434438519022,19135
40.0329414634146,-75.0344291915761,19136
40.0329414634146,-75.02541453125,19136
40.0329414634146,-75.0163998709239,19114
40.0329414634146,-75.0073852105978,19136
40.0329414634146,-74.9983705502717,19136
40.0239282926829,-75.2237370584239,19127
40.0239282926829,-75.2147223980978,19128
40.0239282926829,-75.2057077377717,19128
40.0239282926829,-75.1966930774456,19129-1712
40.0239282926829,-75.1876784171196,19144
40.0239282926829,-75.1786637567935,19144
40.0239282926829,-75.1696490964674,19144
40.0239282926829,-75.1606344361413,19144
40.0239282926829,-75.1516197758152,19140
40.0239282926829,-75.1426051154891,19140
40.0239282926829,-75.133590455163,19120
40.0239282926829,-75.1245757948369,19120
40.0239282926829,-75.1155611345109,19120
40.0239282926829,-75.1065464741848,19120
40.0239282926829,-75.0975318138587,19124
40.0239282926829,-75.0885171535326,19124
40.0239282926829,-75.0795024932065,19124
40.0239282926829,-75.0704878328804,19149
40.0239282926829,-75.0614731725543,19135
40.0239282926829,-75.0524585122283,19135
40.0239282926829,-75.0434438519022,19135
40.0239282926829,-75.0344291915761,19135
40.0239282926829,-75.02541453125,19136
40.0239282926829,-75.0163998709239,19136
40.0239282926829,-75.0073852105978,08077
40.0149151219512,-75.2057077377717,19129
40.0149151219512,-75.1966930774456,19129-1712
40.0149151219512,-75.1876784171196,19129
40.0149151219512,-75.1786637567935,19129
40.0149151219512,-75.1696490964674,19129
40.0149151219512,-75.1606344361413,19140
40.0149151219512,-75.1516197758152,19140
40.0149151219512,-75.1426051154891,19140
40.0149151219512,-75.133590455163,19140
40.0149151219512,-75.1245757948369,19120
40.0149151219512,-75.1155611345109,19120
40.0149151219512,-75.1065464741848,19124
40.0149151219512,-75.0975318138587,19124
40.0149151219512,-75.0885171535326,19124
40.0149151219512,-75.0795024932065,19124
40.0149151219512,-75.0704878328804,19124
40.0149151219512,-75.0614731725543,19135
40.0149151219512,-75.0524585122283,19135
40.0149151219512,-75.0434438519022,19135
40.0149151219512,-75.0344291915761,08065
40.0059019512195,-75.2147223980978,19004
40.0059019512195,-75.2057077377717,19129-1712
40.0059019512195,-75.1966930774456,19129-1712
40.0059019512195,-75.1876784171196,19129
40.0059019512195,-75.1786637567935,19129
40.0059019512195,-75.1696490964674,19129
40.0059019512195,-75.1606344361413,19140
40.0059019512195,-75.1516197758152,19140
40.0059019512195,-75.1426051154891,19140
40.0059019512195,-75.133590455163,19140
40.0059019512195,-75.1245757948369,19134
40.0059019512195,-75.1155611345109,19134
40.0059019512195,-75.1065464741848,19124
40.0059019512195,-75.0975318138587,19314
40.0059019512195,-75.0885171535326,19124
40.0059019512195,-75.0795024932065,19124
40.0059019512195,-75.0704878328804,19137
40.0059019512195,-75.0614731725543,19137
40.0059019512195,-75.0524585122283,19135
39.9968887804878,-75.23275171875,19131
39.9968887804878,-75.2237370584239,19131
39.9968887804878,-75.2147223980978,19131
39.9968887804878,-75.2057077377717,19129-1712
39.9968887804878,-75.1966930774456,19129-1712
39.9968887804878,-75.1876784171196,19129-1712
39.9968887804878,-75.1786637567935,19132
39.9968887804878,-75.1696490964674,19132
39.9968887804878,-75.1606344361413,19132
39.9968887804878,-75.1516197758152,19133
39.9968887804878,-75.1426051154891,19133
39.9968887804878,-75.133590455163,19133
39.9968887804878,-75.1245757948369,19134
39.9968887804878,-75.1155611345109,19134
39.9968887804878,-75.1065464741848,19134
39.9968887804878,-75.0975318138587,19134
39.9968887804878,-75.0885171535326,19314
39.9968887804878,-75.0795024932065,19137
39.9968887804878,-75.0704878328804,19137
39.9968887804878,-75.0614731725543,19137
39.9878756097561,-75.2507810394022,19151
39.9878756097561,-75.2417663790761,19131
39.9878756097561,-75.23275171875,19131
39.9878756097561,-75.2237370584239,19131
39.9878756097561,-75.2147223980978,19131
39.9878756097561,-75.2057077377717,19131
39.9878756097561,-75.1966930774456,19129-1712
39.9878756097561,-75.1876784171196,19121
39.9878756097561,-75.1786637567935,19121
39.9878756097561,-75.1696490964674,19132
39.9878756097561,-75.1606344361413,19132
39.9878756097561,-75.1516197758152,19132:19133
39.9878756097561,-75.1426051154891,19133
39.9878756097561,-75.133590455163,19133
39.9878756097561,-75.1245757948369,19125
39.9878756097561,-75.1155611345109,19134
39.9878756097561,-75.1065464741848,19134
39.9878756097561,-75.0975318138587,19134
39.9878756097561,-75.0885171535326,19134
39.9878756097561,-75.0795024932065,19137
39.9878756097561,-75.0704878328804,19137
39.9788624390244,-75.2688103600543,19151
39.9788624390244,-75.2597956997283,19151
39.9788624390244,-75.2507810394022,19151
39.9788624390244,-75.2417663790761,19151
39.9788624390244,-75.23275171875,19131
39.9788624390244,-75.2237370584239,19131
39.9788624390244,-75.2147223980978,19131
39.9788624390244,-75.2057077377717,19104-1469
39.9788624390244,-75.1966930774456,19104-2892
39.9788624390244,-75.1876784171196,19121
39.9788624390244,-75.1786637567935,19121
39.9788624390244,-75.1696490964674,19132
39.9788624390244,-75.1606344361413,19121
39.9788624390244,-75.1516197758152,19121
39.9788624390244,-75.1426051154891,19122
39.9788624390244,-75.133590455163,19120
39.9788624390244,-75.1245757948369,19125
39.9788624390244,-75.1155611345109,19125
39.9788624390244,-75.1065464741848,19134
39.9788624390244,-75.0975318138587,19134
39.9788624390244,-75.0885171535326,19314
39.9788624390244,-75.0795024932065,19137
39.9698492682927,-75.2688103600543,19082
39.9698492682927,-75.2597956997283,19151
39.9698492682927,-75.2507810394022,19151
39.9698492682927,-75.2417663790761,19151
39.9698492682927,-75.23275171875,19131
39.9698492682927,-75.2237370584239,19131
39.9698492682927,-75.2147223980978,19131
39.9698492682927,-75.2057077377717,19104
39.9698492682927,-75.1966930774456,19104
39.9698492682927,-75.1876784171196,19104-2892
39.9698492682927,-75.1786637567935,19130
