"Dates","PM2.5","Year","Month","State"
"1-2007",15.0454177856445,2007,"Jan","PA"
"2-2007",15.551456451416,2007,"Feb","PA"
"3-2007",11.1356706619263,2007,"Mar","PA"
"4-2007",10.7162342071533,2007,"Apr","PA"
"5-2007",13.3527574539185,2007,"May","PA"
"6-2007",15.374153137207,2007,"June","PA"
"7-2007",18.5425701141357,2007,"Jul","PA"
"8-2007",17.9162349700928,2007,"Aug","PA"
"9-2007",11.3674116134644,2007,"Sept","PA"
"10-2007",11.9234418869019,2007,"Oct","PA"
"11-2007",13.9161624908447,2007,"Nov","PA"
"12-2007",14.4274463653564,2007,"Dec","PA"
"1-2008",14.7410078048706,2008,"Jan","PA"
"2-2008",15.8311653137207,2008,"Feb","PA"
"3-2008",10.6460609436035,2008,"Mar","PA"
"4-2008",11.4709796905518,2008,"Apr","PA"
"5-2008",11.6469564437866,2008,"May","PA"
"6-2008",20.0963535308838,2008,"June","PA"
"7-2008",20.368803024292,2008,"Jul","PA"
"8-2008",12.5367593765259,2008,"Aug","PA"
"9-2008",10.3607330322266,2008,"Sept","PA"
"10-2008",9.66468620300293,2008,"Oct","PA"
"11-2008",11.009991645813,2008,"Nov","PA"
"12-2008",10.4720067977905,2008,"Dec","PA"
"1-2009",15.4949674606323,2009,"Jan","PA"
"2-2009",11.8390035629272,2009,"Feb","PA"
"3-2009",12.1907567977905,2009,"Mar","PA"
"4-2009",9.85497570037842,2009,"Apr","PA"
"5-2009",10.4432554244995,2009,"May","PA"
"6-2009",11.0063447952271,2009,"June","PA"
"7-2009",12.5473346710205,2009,"Jul","PA"
"8-2009",13.7561302185059,2009,"Aug","PA"
"9-2009",7.47794675827026,2009,"Sept","PA"
"10-2009",8.3378791809082,2009,"Oct","PA"
"11-2009",10.4994068145752,2009,"Nov","PA"
"12-2009",8.96667575836182,2009,"Dec","PA"
"1-2010",11.6564931869507,2010,"Jan","PA"
"2-2010",11.8018980026245,2010,"Feb","PA"
"3-2010",8.88406085968018,2010,"Mar","PA"
"4-2010",9.08401775360107,2010,"Apr","PA"
"5-2010",9.6124267578125,2010,"May","PA"
"6-2010",13.2342348098755,2010,"June","PA"
"7-2010",13.843976020813,2010,"Jul","PA"
