"Dates","CO","Year","Month"
"6-2016",0.150472715497017,2016,"June"
"7-2016",0.162479788064957,2016,"Jul"
"8-2016",0.147117674350739,2016,"Aug"
"9-2016",0.164141401648521,2016,"Sept"
"10-2016",0.187310397624969,2016,"Oct"
"11-2016",0.306417614221573,2016,"Nov"
"12-2016",0.27566197514534,2016,"Dec"
"1-2017",0.353643298149109,2017,"Jan"
"2-2017",0.216853946447372,2017,"Feb"
"3-2017",0.617357075214386,2017,"Mar"
"4-2017",0.228103935718536,2017,"Apr"
"5-2017",0.162280976772308,2017,"May"
"6-2017",0.19216525554657,2017,"June"
"7-2017",0.166384369134903,2017,"Jul"
"8-2017",0.180754408240318,2017,"Aug"
"9-2017",0.195887625217438,2017,"Sept"
"10-2017",0.216841161251068,2017,"Oct"
"11-2017",0.291832476854324,2017,"Nov"
"12-2017",0.321250855922699,2017,"Dec"
