City.Name,Latitude,Longitude,Arithmetic.Mean,Date.Local,County.Name,State.Name
Albuquerque,35.1343,-106.5852,6.4,9/11/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,7.7,9/12/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,3.2,9/14/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,3.1,9/15/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.7,9/16/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,2.2,9/17/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,2.7,9/18/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,2.5,9/19/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.9,9/20/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,3.6,9/21/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.8,9/22/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,2,9/23/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.6,9/24/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.4,9/25/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,3.8,9/26/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.5,9/27/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.6,9/28/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.7,9/29/17,Bernalillo,New Mexico
Albuquerque,35.1343,-106.5852,1.9,9/30/17,Bernalillo,New Mexico
New York,40.816,-73.902,0.8,9/1/17,Bronx,New York
New York,40.816,-73.902,0.7,9/2/17,Bronx,New York
New York,40.816,-73.902,0,9/3/17,Bronx,New York
New York,40.816,-73.902,7.9,9/4/17,Bronx,New York
New York,40.816,-73.902,12.4,9/5/17,Bronx,New York
New York,40.816,-73.902,9.3,9/6/17,Bronx,New York
New York,40.816,-73.902,18.3,9/16/17,Bronx,New York
New York,40.816,-73.902,15.6,9/17/17,Bronx,New York
New York,40.816,-73.902,3.6,9/18/17,Bronx,New York
New York,40.816,-73.902,7.2,9/19/17,Bronx,New York
New York,40.816,-73.902,3,9/20/17,Bronx,New York
New York,40.816,-73.902,6.3,9/21/17,Bronx,New York
New York,40.816,-73.902,4.4,9/22/17,Bronx,New York
New York,40.816,-73.902,4.7,9/23/17,Bronx,New York
New York,40.816,-73.902,9.9,9/24/17,Bronx,New York
New York,40.816,-73.902,12.5,9/25/17,Bronx,New York
New York,40.816,-73.902,4.9,9/26/17,Bronx,New York
New York,40.816,-73.902,2.9,9/27/17,Bronx,New York
New York,40.816,-73.902,2.6,9/28/17,Bronx,New York
New York,40.816,-73.902,3.4,9/29/17,Bronx,New York
New York,40.816,-73.902,6.1,9/30/17,Bronx,New York
New York,40.73614,-73.82153,7.9,9/7/17,Queens,New York
New York,40.73614,-73.82153,3.9,9/8/17,Queens,New York
New York,40.73614,-73.82153,2.8,9/9/17,Queens,New York
New York,40.73614,-73.82153,3.4,9/10/17,Queens,New York
New York,40.73614,-73.82153,4.2,9/11/17,Queens,New York
New York,40.73614,-73.82153,9,9/12/17,Queens,New York
New York,40.73614,-73.82153,9,9/13/17,Queens,New York
New York,40.73614,-73.82153,8.7,9/14/17,Queens,New York
New York,40.73614,-73.82153,8.7,9/15/17,Queens,New York
Philadelphia,39.991389,-75.080833,6.6,9/1/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,2.7,9/2/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,4,9/3/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,9.9,9/4/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,16.9,9/5/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,18.8,9/6/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,10.2,9/7/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,4,9/8/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,5.3,9/9/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,3,9/10/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,5.9,9/11/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,11.1,9/12/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,10.6,9/13/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,9.2,9/14/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,5.7,9/15/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,5.3,9/16/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,4.7,9/17/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,3.7,9/18/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,8.4,9/19/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,3.3,9/20/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,3.8,9/21/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,5.8,9/22/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,5.1,9/23/17,Philadelphia,Pennsylvania
Philadelphia,39.991389,-75.080833,8.9,9/24/17,Philadelphia,Pennsylvania
